atribut_ttl,atribut_ack,atribut_windows_value
64,230744,773
64,233640,773
64,236536,773
64,239432,773
64,242328,773
64,245224,773
64,248120,773
64,251016,773
64,252433,773
64,255329,773
64,258225,773
64,261121,773
64,264017,773
64,266913,773
64,269809,773
64,272705,773
64,275601,773
64,278497,773
64,281393,773
64,284289,773
64,285918,773
128,1548,256
128,1548,256
128,1548,256
128,1548,256
128,1548,256
128,1548,256
128,1548,256
128,1548,256
128,1548,256
128,1548,256
128,1548,256
128,1548,256
128,1548,256
128,1548,256
128,1548,256
128,1548,256
128,1548,256
128,1548,256
128,1548,256
128,1548,256
128,1548,256
128,1548,256
128,1548,256
128,1548,256
128,1548,256
128,1548,256
128,1548,256
128,1548,256
128,1548,256
128,1548,256
128,1548,256
128,1548,256
128,1548,256
128,1548,256
128,1548,256
128,1548,256
128,1548,256
128,1548,256
128,1548,256
128,1548,256
128,1548,256
128,1548,256
128,1548,256
128,1548,256
128,1548,256
128,1548,256
128,1548,256
128,1548,256
64,288814,773
64,291710,773
64,294606,773
64,297502,773
64,300398,773
64,303294,773
64,306190,773
64,309086,773
64,311982,773
64,314878,773
64,317774,773
64,320550,773
64,323446,773
64,326342,773
64,329238,773
64,332134,773
64,335030,773
64,337926,773
64,340822,773
64,343718,773
64,346614,773
64,349510,773
64,352406,773
128,1548,256
128,1548,256
128,1548,256
128,1548,256
64,355262,773
64,358158,773
64,359987,773
64,415,343
64,208,343
64,208,343
64,208,343
64,208,343
128,1064,258
128,1603,255
128,1076,258
128,1071,258
64,359987,773
128,1075,258
128,2085,260
64,414,343
64,622,343
64,413,343
64,414,343
64,415,343
64,414,343
128,1598,255
64,360193,773
64,620,343
255,0,2144
128,1,8192
255,1,2144
255,1,2144
128,299,65392
128,299,65392
255,225,2144
255,0,2144
128,1,8192
255,1,2144
255,1,2144
128,293,65392
128,293,65392
255,225,2144
255,0,2144
128,1,8192
255,1,2144
255,1,2144
128,289,65392
128,289,65392
255,225,2144
255,0,2144
128,1,8192
255,1,2144
255,1,2144
